Rank,Name,Team,Games,TGTS,REC,PCT,YDS,TD,LNG,YT,YR,RUSH_ATT,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_FUM,RUSH_LST,PPG,FPTS
219,Dan Chisena,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Tanner Gentry,BUF,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Dez Fitzpatrick,TEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Javon Wims,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Brandon Zylstra,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
219,Ethan Fernea,IND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Kyric McGowan,WAS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Marcus Kemp,KC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Stanley Berryhill,DET,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Tay Martin,SF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Lynn Bowden Jr.,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Binjimen Victor,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Trinity Benson,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Cornell Powell,KC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Alex Erickson,WAS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Kwamie Lassiter II,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Kirk Merritt,NO,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,James Washington,DAL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Josh Ali,ATL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Preston Williams,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Johnny Johnson III,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,KaVontae Turpin,DAL,17,2,1,50,9,0,9,4.5,9,3,17,5.7,0,3,2,0,-0.4
254,Chester Rogers,CLE,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.7,-2
,,,,,,,,,,,,,,,,,,,0.8
,,,,,,,,,,,,,,,,,,,0.7
,,,,,,,,,,,,,,,,,,,0.7
,,,,,,,,,,,,,,,,,,,0.7
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,
