Rank,Name,Team,Games,TGTS,REC,PCT,YDS,TD,LNG,YT,YR,RUSH_ATT,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_FUM,RUSH_LST,PPG,FPTS
78,Treylon Burks,TEN,11,54,33,61.1,444,1,51,8.2,13.5,4,47,11.8,1,0,0,8.6,94.1
79,Mecole Hardman Jr.,KC,8,34,25,73.5,297,4,36,8.7,11.9,4,31,7.8,2,1,0,11.7,93.8
80,Marquise Goodwin,SEA,13,42,27,64.3,387,4,38,9.2,14.3,2,5,2.5,0,0,0,6.9,90.2
81,Kendrick Bourne,NE,16,48,35,72.9,434,1,41,9,12.4,6,39,6.5,0,2,0,5.5,88.3
82,Elijah Moore,NYJ,16,65,37,56.9,446,1,42,6.9,12.1,5,5,1,0,1,0,5.5,88.1
83,Rondale Moore,ARI,8,56,41,73.2,414,1,38,7.4,10.1,6,-5,-0.8,0,0,0,11,87.9
84,Allen Robinson II,LAR,10,52,33,63.5,339,3,29,6.5,10.3,0,0,0,0,0,0,8.5,84.9
85,Quez Watkins,PHI,17,50,33,66,354,3,53,7.1,10.7,3,1,0.3,0,1,1,5,84.5
86,Ben Skowronek,LAR,14,61,39,63.9,376,0,32,6.2,9.6,1,17,17,1,0,0,6,84.3
87,Trent Sherfield,MIA,17,51,30,58.8,417,2,75,8.2,13.9,0,0,0,0,0,0,4.9,83.7
88,Terrace Marshall Jr.,CAR,14,47,28,59.6,490,1,43,10.4,17.5,0,0,0,0,2,0,5.9,83
89,Nick Westbrook-Ikhine,TEN,17,50,25,50,397,3,63,7.9,15.9,0,0,0,0,0,0,4.9,82.7
90,Jauan Jennings,SF,16,56,35,62.5,416,1,44,7.4,11.9,0,0,0,0,1,0,5.2,82.6
91,Randall Cobb,GB,13,50,34,68,417,1,40,8.3,12.3,0,0,0,0,1,0,6.3,81.7
92,Hunter Renfrow,LV,10,50,36,72,330,2,27,6.6,9.2,0,0,0,0,3,1,7.9,79
93,Van Jefferson,LAR,11,44,24,54.5,369,3,39,8.4,15.4,0,0,0,0,0,0,7.2,78.9
94,Nelson Agholor,NE,16,53,31,58.5,362,2,44,6.8,11.7,0,0,0,0,2,2,4.7,75.2
95,Laviska Shenault Jr.,CAR,13,32,27,84.4,272,1,67,8.5,10.1,9,65,7.2,1,0,0,5.6,72.7
96,Julio Jones,TB,10,43,24,55.8,299,2,48,7,12.5,5,45,9,0,0,0,7,70.4
97,Jamal Agnew,JAX,15,30,23,76.7,187,3,24,6.2,8.1,12,86,7.2,0,0,0,4.7,70.3
98,Tyquan Thornton,NE,13,45,22,48.9,247,2,29,5.5,11.2,3,16,5.3,1,0,0,5.1,66.3
99,Dante Pettis,CHI,17,41,19,46.3,245,3,51,6,12.9,2,37,18.5,0,1,0,3.8,65.2
100,Equanimeous St. Brown,CHI,16,38,21,55.3,323,1,56,8.5,15.4,6,54,9,0,1,0,4,64.7
101,Trenton Irwin,CIN,9,23,15,65.2,231,4,45,10,15.4,1,11,11,0,0,0,7,63.2
101,Tutu Atwell,LAR,13,35,18,51.4,298,1,62,8.5,16.6,9,34,3.8,1,0,0,4.9,63.2
103,Shi Smith,CAR,17,41,22,53.7,296,2,38,7.2,13.5,0,0,0,0,4,1,3.6,61.6
103,A.J. Green,ARI,15,47,24,51.1,236,2,77,5,9.8,0,0,0,0,0,0,4.1,61.6
105,Jarvis Landry,NO,9,39,25,64.1,272,1,40,7,10.9,0,0,0,0,1,0,6.7,60.2
106,Justin Watson,KC,17,34,15,44.1,315,2,67,9.3,21,0,0,0,0,0,0,3.4,58.5
107,Ray-Ray McCloud III,SF,17,25,14,56,243,1,42,9.7,17.4,4,78,19.5,1,2,0,3.4,58.1
108,Braxton Berrios,NYJ,17,32,18,56.2,145,0,25,4.5,8.1,9,91,10.1,2,2,0,3.4,57.68
109,Kadarius Toney,KC,9,20,16,80,171,2,38,8.6,10.7,7,82,11.7,1,1,1,6.4,57.3
110,Kendall Hinton,DEN,12,33,24,72.7,311,0,35,9.4,13,2,13,6.5,0,0,0,4.7,56.4
111,Rashod Bateman,BAL,6,28,15,53.6,285,2,75,10.2,19,0,0,0,0,1,1,8.9,53.5
112,Tre'Quan Smith,NO,15,27,19,70.4,278,1,48,10.3,14.6,0,0,0,0,0,0,3.5,52.8
